uri,label
http://dbpedia.org/resource/Lý_dynasty,Lý dynasty
http://dbpedia.org/resource/List_of_Vietnamese_dynasties,List of Vietnamese dynasties
http://dbpedia.org/resource/List_of_monarchs_of_Vietnam,List of monarchs of Vietnam
http://dbpedia.org/resource/Early_Lý_dynasty,Early Lý dynasty
http://dbpedia.org/resource/Đinh_dynasty,Đinh dynasty
http://dbpedia.org/resource/Mạc_dynasty,Mạc dynasty
http://dbpedia.org/resource/Third_Era_of_Northern_Domination,Third Era of Northern Domination
http://dbpedia.org/resource/Lê_dynasty,Lê dynasty
http://dbpedia.org/resource/Trần_dynasty,Trần dynasty
http://dbpedia.org/resource/An_Dương_Vương,An Dương Vương
http://dbpedia.org/resource/Family_tree_of_Vietnamese_monarchs,Family tree of Vietnamese monarchs
http://dbpedia.org/resource/Khúc_clan,Khúc clan
http://dbpedia.org/resource/Later_Trần_dynasty,Later Trần dynasty
http://dbpedia.org/resource/Thục_Dynasty,Thục Dynasty
http://dbpedia.org/resource/Nguyễn_dynasty,Nguyễn dynasty
http://dbpedia.org/resource/Ngô_dynasty,Ngô dynasty
http://dbpedia.org/resource/Vietnamese_era_name,Vietnamese era name
http://dbpedia.org/resource/Revival_Lê_dynasty,Revival Lê dynasty
